imageId,image_file,question,answer,fullAnswer,blip_response
n161313,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n161313.png,Is it overcast?,no,"No, it is clear.",no
n235859,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n235859.png,Who is wearing the dress?,women,The women are wearing a dress.,the woman
n336443,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n336443.png,Does the utensil on top of the table look clean and black?,no,"No, the fork is clean but silver.",yes
n179136,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n179136.png,Is the surfer that looks wet wearing a wetsuit?,yes,"Yes, the surfer is wearing a wetsuit.",yes
n518912,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n518912.png,How tall is the chair in the bottom of the photo?,short,The chair is short.,6 feet
n435808,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n435808.png,What kind of device is on top of the desk?,keyboard,The device is a keyboard.,a computer
n414992,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n414992.png,What is the airplane flying above?,ocean,The plane is flying above the ocean.,a plane
n446242,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n446242.png,What color are the pants?,red,The pants are red.,red
n168412,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n168412.png,Is the ground blue or brown?,brown,The ground is brown.,brown
n23181,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n23181.png,What is around the open window?,drapes,The draperies are around the window.,a bed
n23181,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n23181.png,What's around the window?,drapes,The draperies are around the window.,curtains
n52544,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n52544.png,Who is standing at the table?,woman,The woman is standing at the table.,a group of people
n23181,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n23181.png,Are there drapes to the right of the bed?,yes,"Yes, there are drapes to the right of the bed.",no
n578564,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n578564.png,What is hanging above the chalkboard?,picture,The picture is hanging above the chalkboard.,a potted plant
n437064,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n437064.png,Is the cake on a platter?,no,"No, the cake is on a plate.",yes
n4777,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n4777.png,Is the person to the right of the cup wearing jeans?,yes,"Yes, the person is wearing jeans.",yes
n435808,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n435808.png,What device is sitting next to the mouse pad?,keyboard,The device is a keyboard.,a computer
n554880,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n554880.png,Does the sweater look open and blue?,yes,"Yes, the sweater is open and blue.","no, it's black"
n151768,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n151768.png,Is the jacket long sleeved and black?,yes,"Yes, the jacket is long sleeved and black.",no
n49438,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n49438.png,Are there beds next to the small outlet?,yes,"Yes, there is a bed next to the outlet.",no
n313060,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n313060.png,On which side of the picture is the leather bag?,right,The purse is on the right of the image.,right side
n54424,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n54424.png,Is the blue pillow square and large?,no,"No, the pillow is square but small.",no
n200692,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n200692.png,Which color is the cake?,white,The cake is white.,white
n578564,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n578564.png,What is the name of the cooking utensil that is hang from the hook?,pan,The cooking utensil is a pan.,pan
n52544,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n52544.png,Where is the skinny person standing?,table,The woman is standing at the table.,in the middle of the group
n546616,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n546616.png,Are the plates on top of an ottoman?,no,"No, the plates are on top of the table.",no
n579256,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n579256.png,Is the freezer near the wall small or large?,large,The fridge is large.,large
n546616,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n546616.png,What type of food is to the left of the baby that is sitting atop the woman?,marshmallow,The food is a marshmallow.,cake
n117888,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n117888.png,Is the fence made of cement or aluminum?,aluminum,The fence is made of aluminum.,aluminum
n525029,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n525029.png,Which side are the white houses on?,left,The houses are on the left of the image.,the right side
n315887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315887.png,Are both the phone and the coffee cup the same color?,yes,"Yes, both the phone and the coffee cup are black.",no
n579256,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n579256.png,Are there either any small refrigerators or microwaves in the picture?,no,"No, there is a refrigerator but it is large.",no
n413761,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n413761.png,"How does that car look like, orange or maybe white?",white,The car is white.,it is a white car
n293477,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n293477.png,What color is the book?,white,The book is white.,green
n130638,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n130638.png,What color is the dirt?,red,The dirt is red.,brown
n293477,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n293477.png,Is the bag made of leather lying on top of a sofa?,no,"No, the purse is lying on top of a bed.",no
n23181,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n23181.png,What are the drapes around of?,window,The draperies are around the window.,blue
n314171,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n314171.png,On which side is the picture?,left,The picture is on the left of the image.,right side
n115614,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n115614.png,What material is the crosswalk in front of the stores?,concrete,The crosswalk is made of cement.,concrete
n296467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n296467.png,How large are the sprinkles that are sprinkled on the cupcakes?,small,The sprinkles are small.,how big are the sprinkles that are sprinkled on the cupcakes
n115614,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n115614.png,What type of material is the crosswalk near the street lamp made of?,concrete,The crosswalk is made of cement.,concrete
n274905,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n274905.png,Which kind of clothing is pink?,tank top,The clothing is a tank top.,top
n274905,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n274905.png,How is the clothing item that is pink called?,tank top,The clothing item is a tank top.,top
n274905,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n274905.png,Which kind of clothing is not pink?,hat,The clothing is a hat.,a white shirt
n250715,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n250715.png,Is this helicopter on or off?,off,The helicopter is off.,on
n16656,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n16656.png,Do you see any cats?,yes,"Yes, there is a cat.",a cat is sitting on a pair of sneakers
n16656,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n16656.png,Is that shoe behind a dog?,no,"No, the shoe is behind a cat.",no
n274905,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n274905.png,What kind of clothing is sleeveless?,tank top,The clothing is a tank top.,top
n146522,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n146522.png,Is the field soft and snowy?,no,"No, the field is soft but grassy.","no, it is hard and dry"
n207708,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n207708.png,What fruits are beneath the microwave?,bananas,The fruits are bananas.,apples
n488874,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n488874.png,Which color is the shirt?,white,The shirt is white.,blue
n207708,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n207708.png,What is beneath the microwave?,bananas,The bananas are beneath the microwave.,a refrigerator
n511913,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n511913.png,On which side of the picture is the chair?,right,The chair is on the right of the image.,left side
n71728,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n71728.png,Is the happy man to the left or to the right of the woman in the center?,right,The man is to the right of the woman.,to the right
n126087,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n126087.png,Who is wearing a wristband?,woman,The woman is wearing a wristband.,the girl
n207708,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n207708.png,Is there a pear beneath the appliance that looks silver and black?,no,"No, there are bananas beneath the microwave.",no
n97485,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n97485.png,Is this a bed or a cabinet?,cabinet,This is a cabinet.,a cabinet
n435808,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n435808.png,On which side is the router?,left,The router is on the left of the image.,on the right side
n518912,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n518912.png,What is the color of the pants?,gray,The pants are gray.,blue
n137182,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n137182.png,Who is wearing the shirt?,girl,The girl is wearing a shirt.,a woman
n137182,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n137182.png,Who is wearing a shirt?,girl,The girl is wearing a shirt.,a woman
n243701,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n243701.png,What's the man doing?,standing,The man is standing.,he's waiting for the light to change
n48494,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n48494.png,Are there rivers or oceans that are not calm?,no,"No, there is a river but it is calm.",yes
n275148,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n275148.png,What is the picture frame hanging from?,wall,The picture frame is hanging from the wall.,a wall
n214497,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n214497.png,"How do the cars look like, dense or sparse?",dense,The cars are dense.,dense
n296467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n296467.png,What food isn't baked?,cookies,The food is cookies.,asian lunch box
